ano,codmun,mun,uf,abandono_EF_6ano,abandono_EF_7ano,abandono_EF_8ano,abandono_EF_9ano,abandono_EM
2004,1100015,alta floresta d'oeste,RO,0,0,0,0,110
2004,1100023,ariquemes,RO,0,0,0,0,437
2004,1100031,cabixi,RO,0,0,0,0,40
2004,1100049,cacoal,RO,0,0,0,0,664
2004,1100056,cerejeiras,RO,0,0,0,0,161
2004,1100064,colorado do oeste,RO,0,0,0,0,91
2004,1100072,corumbiara,RO,0,0,0,0,50
2004,1100080,costa marques,RO,0,0,0,0,106
2004,1100098,espigao d'oeste,RO,0,0,0,0,263
2004,1100106,guajara-mirim,RO,0,0,0,0,258
2004,1100114,jaru,RO,0,0,0,0,414
2004,1100122,ji-parana,RO,0,0,0,0,935
2004,1100130,machadinho d'oeste,RO,0,0,0,0,141
2004,1100148,nova brasilandia d'oeste,RO,0,0,0,0,222
2004,1100155,ouro preto do oeste,RO,0,0,0,0,279
2004,1100189,pimenta bueno,RO,0,0,0,0,316
2004,1100205,porto velho,RO,364,193,140,137,1225
2004,1100254,presidente medici,RO,0,0,0,0,78
2004,1100262,rio crespo,RO,0,0,0,0,30
2004,1100288,rolim de moura,RO,0,0,0,0,455
2004,1100296,santa luzia d'oeste,RO,0,0,0,0,87
2004,1100304,vilhena,RO,0,0,0,0,622
2004,1100320,sao miguel do guapore,RO,0,0,0,0,143
2004,1100338,nova mamore,RO,0,0,0,0,145
2004,1100346,alvorada d'oeste,RO,0,0,0,0,174
2004,1100379,alto alegre dos parecis,RO,0,0,0,0,51
2004,1100403,alto paraiso,RO,0,0,0,0,111
2004,1100452,buritis,RO,0,0,0,0,171
2004,1100502,novo horizonte do oeste,RO,0,0,0,0,106
2004,1100601,cacaulandia,RO,0,0,0,0,39
2004,1100700,campo novo de rondonia,RO,0,0,0,0,23
2004,1100809,candeias do jamari,RO,0,0,0,0,122
2004,1100908,castanheiras,RO,0,0,0,0,18
2004,1100924,chupinguaia,RO,0,0,0,0,66
2004,1100940,cujubim,RO,0,0,0,0,105
2004,1101005,governador jorge teixeira,RO,0,0,0,0,86
2004,1101104,itapua do oeste,RO,0,0,0,0,139
2004,1101203,ministro andreazza,RO,0,0,0,0,33
2004,1101302,mirante da serra,RO,0,0,0,0,124
2004,1101401,monte negro,RO,0,0,0,0,93
2004,1101435,nova uniao,RO,0,0,0,0,84
2004,1101450,parecis,RO,0,0,0,0,44
2004,1101468,pimenteiras do oeste,RO,0,0,0,0,12
2004,1101476,primavera de rondonia,RO,0,0,0,0,19
2004,1101484,sao felipe d oeste,RO,0,0,0,0,48
2004,1101492,sao francisco do guapore,RO,0,0,0,0,88
2004,1101500,seringueiras,RO,0,0,0,0,110
2004,1101559,teixeiropolis,RO,0,0,0,0,58
2004,1101609,theobroma,RO,0,0,0,0,45
