ano,codmun,mun,uf,aprov_reprov_EF_6ano,aprov_reprov_EF_7ano,aprov_reprov_EF_8ano,aprov_reprov_EF_9ano,aprov_reprov_EM
2005,1100015,alta floresta d'oeste,RO,674,620,541,505,971
2005,1100023,ariquemes,RO,2132,1806,1526,1495,2924
2005,1100031,cabixi,RO,180,157,145,91,241
2005,1100049,cacoal,RO,2214,1922,1552,1801,2744
2005,1100056,cerejeiras,RO,460,389,346,305,774
2005,1100064,colorado do oeste,RO,528,459,438,357,850
2005,1100072,corumbiara,RO,284,204,156,137,198
2005,1100080,costa marques,RO,354,271,228,154,392
2005,1100098,espigao d'oeste,RO,617,564,533,427,815
2005,1100106,guajara-mirim,RO,1045,897,705,626,1405
2005,1100114,jaru,RO,1377,1244,1114,952,1641
2005,1100122,ji-parana,RO,2822,2420,2221,1725,3982
2005,1100130,machadinho d'oeste,RO,823,627,456,370,523
2005,1100148,nova brasilandia d'oeste,RO,703,386,424,311,949
2005,1100155,ouro preto do oeste,RO,1051,874,622,520,1145
2005,1100189,pimenta bueno,RO,856,673,553,565,1175
2005,1100205,porto velho,RO,8447,7077,5528,4586,11394
2005,1100254,presidente medici,RO,621,549,449,349,556
2005,1100262,rio crespo,RO,117,92,81,76,134
2005,1100288,rolim de moura,RO,1319,1234,1019,971,2093
2005,1100296,santa luzia d'oeste,RO,254,251,173,161,391
2005,1100304,vilhena,RO,1533,1409,1134,979,2277
2005,1100320,sao miguel do guapore,RO,559,480,459,269,442
2005,1100338,nova mamore,RO,432,343,236,173,471
2005,1100346,alvorada d'oeste,RO,570,456,344,290,613
2005,1100379,alto alegre dos parecis,RO,355,295,267,174,283
2005,1100403,alto paraiso,RO,377,347,321,278,521
2005,1100452,buritis,RO,867,693,501,436,559
2005,1100502,novo horizonte do oeste,RO,296,244,167,101,394
2005,1100601,cacaulandia,RO,157,144,114,104,149
2005,1100700,campo novo de rondonia,RO,255,168,133,111,130
2005,1100809,candeias do jamari,RO,375,231,211,130,301
2005,1100908,castanheiras,RO,136,116,90,84,142
2005,1100924,chupinguaia,RO,284,244,272,184,308
2005,1100940,cujubim,RO,335,258,158,162,224
2005,1101005,governador jorge teixeira,RO,379,310,245,262,250
2005,1101104,itapua do oeste,RO,251,166,181,141,255
2005,1101203,ministro andreazza,RO,259,261,217,213,180
2005,1101302,mirante da serra,RO,329,260,278,223,505
2005,1101401,monte negro,RO,443,398,321,273,454
2005,1101435,nova uniao,RO,228,168,166,120,211
2005,1101450,parecis,RO,131,107,88,77,142
2005,1101468,pimenteiras do oeste,RO,78,55,38,36,71
2005,1101476,primavera de rondonia,RO,98,100,92,76,178
2005,1101484,sao felipe d oeste,RO,144,135,142,123,258
2005,1101492,sao francisco do guapore,RO,347,322,265,234,337
2005,1101500,seringueiras,RO,369,297,285,236,263
2005,1101559,teixeiropolis,RO,123,131,93,87,179
2005,1101609,theobroma,RO,402,299,200,172,165
2005,1101708,urupa,RO,411,319,256,223,300
2005,1101757,vale do anari,RO,206,190,198,98,207
2005,1101807,vale do paraiso,RO,296,218,184,140,175
2005,1200013,acrelandia,AC,352,263,237,222,326
2005,1200054,assis brasil,AC,102,82,57,56,102
2005,1200104,brasileia,AC,438,358,299,277,726
2005,1200138,bujari,AC,278,109,76,58,165
2005,1200179,capixaba,AC,168,143,99,80,139
2005,1200203,cruzeiro do sul,AC,1493,1203,1162,1048,3014
2005,1200252,epitaciolandia,AC,326,224,183,146,176
2005,1200302,feijo,AC,377,312,316,242,526
2005,1200328,jordao,AC,171,88,61,34,97
2005,1200336,mancio lima,AC,373,269,236,220,500
2005,1200344,manoel urbano,AC,145,85,78,75,157
2005,1200351,marechal thaumaturgo,AC,454,189,75,70,413
2005,1200385,placido de castro,AC,449,324,239,267,541
2005,1200393,porto walter,AC,196,161,155,126,205
2005,1200401,rio branco,AC,7138,6062,4941,4456,14631
2005,1200427,rodrigues alves,AC,321,235,229,194,305
2005,1200435,santa rosa do purus,AC,55,36,29,8,85
2005,1200450,senador guiomard,AC,423,371,331,244,423
2005,1200500,sena madureira,AC,780,539,458,356,954
2005,1200609,tarauaca,AC,585,548,422,388,746
2005,1200708,xapuri,AC,240,268,161,132,268
2005,1200807,porto acre,AC,305,232,219,179,334
2005,1300029,alvaraes,AM,379,406,197,158,358
2005,1300060,amatura,AM,144,137,111,101,204
2005,1300086,anama,AM,228,113,139,112,280
2005,1300102,anori,AM,298,245,206,151,450
2005,1300144,apui,AM,324,225,195,227,267
2005,1300201,atalaia do norte,AM,267,159,128,79,208
2005,1300300,autazes,AM,790,589,467,394,621
2005,1300409,barcelos,AM,327,333,282,216,343
2005,1300508,barreirinha,AM,751,559,539,382,781
2005,1300607,benjamin constant,AM,1177,960,705,598,1039
2005,1300631,beruri,AM,391,323,171,173,354
2005,1300680,boa vista do ramos,AM,404,324,254,180,345
2005,1300706,boca do acre,AM,736,568,450,381,1024
2005,1300805,borba,AM,528,448,346,388,815
2005,1300839,caapiranga,AM,255,214,136,122,194
2005,1300904,canutama,AM,187,101,102,102,266
2005,1301001,carauari,AM,483,385,370,307,653
2005,1301100,careiro,AM,728,485,492,420,625
2005,1301159,careiro da varzea,AM,487,361,343,335,801
2005,1301209,coari,AM,1875,1310,1145,1070,2467
