ano,codmun,mun,uf,matriculas_EF_6ano,matriculas_EF_7ano,matriculas_EF_8ano,matriculas_EF_9ano
2002,1100015,alta floresta d'oeste,RO,908,674,566,556
2002,1100023,ariquemes,RO,2406,1931,1625,1255
2002,1100031,cabixi,RO,205,242,189,197
2002,1100049,cacoal,RO,2702,1544,2073,1300
2002,1100056,cerejeiras,RO,591,608,528,486
2002,1100064,colorado do oeste,RO,695,655,642,440
2002,1100072,corumbiara,RO,302,209,169,124
2002,1100080,costa marques,RO,363,339,213,160
2002,1100098,espigao d'oeste,RO,854,566,464,419
2002,1100106,guajara-mirim,RO,1666,940,759,656
2002,1100114,jaru,RO,1998,1621,1621,1083
2002,1100122,ji-parana,RO,3327,2841,2344,2313
2002,1100130,machadinho d'oeste,RO,983,708,449,306
2002,1100148,nova brasilandia d'oeste,RO,592,451,493,692
2002,1100155,ouro preto do oeste,RO,1440,1281,1182,886
2002,1100189,pimenta bueno,RO,1067,822,806,666
2002,1100205,porto velho,RO,10701,8218,6463,5143
2002,1100254,presidente medici,RO,809,727,648,571
2002,1100262,rio crespo,RO,140,125,89,98
2002,1100288,rolim de moura,RO,1881,1501,1054,1080
2002,1100296,santa luzia d'oeste,RO,324,284,263,261
2002,1100304,vilhena,RO,1560,1498,1397,1268
2002,1100320,sao miguel do guapore,RO,618,385,319,214
2002,1100338,nova mamore,RO,411,336,352,270
2002,1100346,alvorada d'oeste,RO,505,367,292,259
2002,1100379,alto alegre dos parecis,RO,361,294,235,182
2002,1100403,alto paraiso,RO,381,350,271,227
2002,1100452,buritis,RO,1055,625,335,282
2002,1100502,novo horizonte do oeste,RO,555,492,333,311
2002,1100601,cacaulandia,RO,179,149,116,99
2002,1100700,campo novo de rondonia,RO,300,215,207,158
2002,1100809,candeias do jamari,RO,422,244,200,127
2002,1100908,castanheiras,RO,199,156,52,121
2002,1100924,chupinguaia,RO,191,186,209,212
2002,1100940,cujubim,RO,312,217,161,107
2002,1101005,governador jorge teixeira,RO,566,401,462,309
