ano,codmun,mun,uf,abandono_EF_6ano,abandono_EF_7ano,abandono_EF_8ano,abandono_EF_9ano,abandono_EM
2005,1100015,alta floresta d'oeste,RO,68,58,48,58,179
2005,1100023,ariquemes,RO,187,162,129,111,417
2005,1100031,cabixi,RO,7,9,8,3,31
2005,1100049,cacoal,RO,158,149,122,199,489
2005,1100056,cerejeiras,RO,27,24,16,15,148
2005,1100064,colorado do oeste,RO,16,16,31,21,77
2005,1100072,corumbiara,RO,32,27,14,11,57
2005,1100080,costa marques,RO,75,50,48,43,119
2005,1100098,espigao d'oeste,RO,28,28,32,29,196
2005,1100106,guajara-mirim,RO,78,72,64,63,222
2005,1100114,jaru,RO,324,330,317,215,338
2005,1100122,ji-parana,RO,257,140,184,162,627
2005,1100130,machadinho d'oeste,RO,251,241,180,113,88
2005,1100148,nova brasilandia d'oeste,RO,90,55,44,26,222
2005,1100155,ouro preto do oeste,RO,175,113,92,93,238
2005,1100189,pimenta bueno,RO,45,28,23,48,270
2005,1100205,porto velho,RO,585,439,327,249,1285
2005,1100254,presidente medici,RO,58,63,48,33,79
2005,1100262,rio crespo,RO,21,11,5,14,29
2005,1100288,rolim de moura,RO,133,120,150,102,412
2005,1100296,santa luzia d'oeste,RO,5,5,5,7,114
2005,1100304,vilhena,RO,77,90,87,86,437
2005,1100320,sao miguel do guapore,RO,29,35,27,16,135
2005,1100338,nova mamore,RO,119,61,45,39,99
2005,1100346,alvorada d'oeste,RO,24,24,12,15,166
2005,1100379,alto alegre dos parecis,RO,26,22,18,27,48
2005,1100403,alto paraiso,RO,31,37,45,45,100
2005,1100452,buritis,RO,164,110,105,78,205
2005,1100502,novo horizonte do oeste,RO,17,13,15,10,127
2005,1100601,cacaulandia,RO,11,15,12,7,14
2005,1100700,campo novo de rondonia,RO,59,53,39,29,20
2005,1100809,candeias do jamari,RO,95,42,21,14,97
2005,1100908,castanheiras,RO,10,2,8,8,33
2005,1100924,chupinguaia,RO,65,16,27,28,58
2005,1100940,cujubim,RO,61,43,31,22,66
2005,1101005,governador jorge teixeira,RO,106,59,81,43,112
2005,1101104,itapua do oeste,RO,61,65,48,47,69
2005,1101203,ministro andreazza,RO,7,15,23,30,39
2005,1101302,mirante da serra,RO,24,35,46,30,108
2005,1101401,monte negro,RO,61,44,45,45,78
2005,1101435,nova uniao,RO,42,53,46,30,159
2005,1101450,parecis,RO,7,9,10,10,44
2005,1101468,pimenteiras do oeste,RO,4,9,3,3,5
2005,1101476,primavera de rondonia,RO,1,11,5,8,31
2005,1101484,sao felipe d oeste,RO,9,9,7,12,52
2005,1101492,sao francisco do guapore,RO,74,101,59,51,148
2005,1101500,seringueiras,RO,95,76,68,27,108
2005,1101559,teixeiropolis,RO,16,10,18,9,43
2005,1101609,theobroma,RO,27,35,29,21,17
2005,1101708,urupa,RO,21,18,18,26,84
2005,1101757,vale do anari,RO,34,52,61,10,98
2005,1101807,vale do paraiso,RO,49,33,23,13,26
2005,1200013,acrelandia,AC,39,29,21,12,115
2005,1200054,assis brasil,AC,48,17,6,1,33
2005,1200104,brasileia,AC,50,65,65,57,240
2005,1200138,bujari,AC,86,12,26,21,36
2005,1200179,capixaba,AC,32,23,12,17,31
2005,1200203,cruzeiro do sul,AC,143,106,76,78,813
2005,1200252,epitaciolandia,AC,53,52,36,30,59
2005,1200302,feijo,AC,42,20,21,15,105
2005,1200328,jordao,AC,51,20,5,5,6
2005,1200336,mancio lima,AC,38,26,20,33,116
2005,1200344,manoel urbano,AC,31,14,7,6,74
2005,1200351,marechal thaumaturgo,AC,150,36,12,19,133
2005,1200385,placido de castro,AC,31,27,26,31,149
2005,1200393,porto walter,AC,47,20,14,11,25
2005,1200401,rio branco,AC,717,392,302,314,2984
2005,1200427,rodrigues alves,AC,89,43,24,27,82
2005,1200435,santa rosa do purus,AC,8,10,2,4,0
2005,1200450,senador guiomard,AC,76,57,45,31,130
2005,1200500,sena madureira,AC,213,106,80,84,180
