ano,codmun,mun,uf,matriculas_EF_6ano,matriculas_EF_7ano,matriculas_EF_8ano,matriculas_EF_9ano
2001,1100015,alta floresta d'oeste,RO,795,653,586,383
2001,1100023,ariquemes,RO,2203,1893,1549,1207
2001,1100031,cabixi,RO,255,250,214,166
2001,1100049,cacoal,RO,1706,2349,1443,1848
2001,1100056,cerejeiras,RO,649,631,564,455
2001,1100064,colorado do oeste,RO,762,692,534,468
2001,1100072,corumbiara,RO,286,194,159,140
2001,1100080,costa marques,RO,340,243,198,158
2001,1100098,espigao d'oeste,RO,712,626,535,462
2001,1100106,guajara-mirim,RO,1308,1034,766,660
2001,1100114,jaru,RO,2200,2493,1460,1249
2001,1100122,ji-parana,RO,3608,3401,3072,2613
2001,1100130,machadinho d'oeste,RO,740,630,346,319
2001,1100148,nova brasilandia d'oeste,RO,278,252,260,1051
2001,1100155,ouro preto do oeste,RO,1420,1407,1054,702
2001,1100189,pimenta bueno,RO,986,951,860,618
2001,1100205,porto velho,RO,11222,8524,6239,5128
2001,1100254,presidente medici,RO,857,732,612,453
2001,1100262,rio crespo,RO,166,89,104,71
2001,1100288,rolim de moura,RO,1929,1447,1247,1169
2001,1100296,santa luzia d'oeste,RO,315,316,388,245
2001,1100304,vilhena,RO,1724,1699,1539,1305
2001,1100320,sao miguel do guapore,RO,449,374,241,225
2001,1100338,nova mamore,RO,394,353,304,232
2001,1100346,alvorada d'oeste,RO,405,380,306,217
2001,1100379,alto alegre dos parecis,RO,304,231,210,155
2001,1100403,alto paraiso,RO,424,305,256,245
2001,1100452,buritis,RO,799,448,365,305
2001,1100502,novo horizonte do oeste,RO,460,407,269,144
2001,1100601,cacaulandia,RO,160,148,123,121
2001,1100700,campo novo de rondonia,RO,285,342,162,115
2001,1100809,candeias do jamari,RO,312,224,133,112
2001,1100908,castanheiras,RO,206,172,29,136
2001,1100924,chupinguaia,RO,176,211,202,196
2001,1100940,cujubim,RO,234,207,102,137
2001,1101005,governador jorge teixeira,RO,466,539,411,278
2001,1101104,itapua do oeste,RO,372,248,241,139
2001,1101203,ministro andreazza,RO,404,250,227,82
2001,1101302,mirante da serra,RO,410,440,511,220
2001,1101401,monte negro,RO,472,428,311,215
2001,1101435,nova uniao,RO,251,246,404,161
2001,1101450,parecis,RO,177,103,56,35
2001,1101468,pimenteiras do oeste,RO,89,89,70,46
2001,1101476,primavera de rondonia,RO,98,127,98,88
2001,1101484,sao felipe d oeste,RO,221,221,159,195
2001,1101492,sao francisco do guapore,RO,409,227,165,103
2001,1101500,seringueiras,RO,293,378,273,157
2001,1101559,teixeiropolis,RO,230,178,105,121
2001,1101609,theobroma,RO,432,405,244,175
2001,1101708,urupa,RO,438,365,308,294
2001,1101757,vale do anari,RO,214,133,77,41
2001,1101807,vale do paraiso,RO,367,348,397,135
2001,1200013,acrelandia,AC,353,209,171,129
2001,1200054,assis brasil,AC,99,74,38,29
2001,1200104,brasileia,AC,479,302,192,190
2001,1200138,bujari,AC,163,95,104,61
2001,1200179,capixaba,AC,120,67,45,32
2001,1200203,cruzeiro do sul,AC,2253,1613,1424,1196
2001,1200252,epitaciolandia,AC,277,225,125,131
2001,1200302,feijo,AC,324,269,206,180
2001,1200328,jordao,AC,107,37,28,19
2001,1200336,mancio lima,AC,399,298,193,191
2001,1200344,manoel urbano,AC,135,84,76,64
2001,1200351,marechal thaumaturgo,AC,296,100,80,49
2001,1200385,placido de castro,AC,508,344,301,259
2001,1200393,porto walter,AC,119,79,66,44
2001,1200401,rio branco,AC,8779,7019,5787,5007
2001,1200427,rodrigues alves,AC,137,80,76,62
2001,1200435,santa rosa do purus,AC,41,15,13,8
2001,1200450,senador guiomard,AC,549,353,301,260
2001,1200500,sena madureira,AC,689,531,484,296
2001,1200609,tarauaca,AC,753,465,344,302
2001,1200708,xapuri,AC,256,216,161,156
2001,1200807,porto acre,AC,295,246,171,133
2001,1300029,alvaraes,AM,303,191,157,147
2001,1300060,amatura,AM,183,118,95,83
2001,1300086,anama,AM,152,134,123,101
2001,1300102,anori,AM,333,256,192,187
2001,1300144,apui,AM,334,232,158,111
2001,1300201,atalaia do norte,AM,264,152,119,100
2001,1300300,autazes,AM,851,555,462,337
2001,1300409,barcelos,AM,324,289,252,174
2001,1300508,barreirinha,AM,642,458,428,331
2001,1300607,benjamin constant,AM,820,613,521,380
2001,1300631,beruri,AM,311,183,112,118
2001,1300680,boa vista do ramos,AM,267,166,155,129
2001,1300706,boca do acre,AM,795,451,414,365
2001,1300805,borba,AM,596,418,318,263
2001,1300839,caapiranga,AM,110,107,82,68
2001,1300904,canutama,AM,213,150,85,109
2001,1301001,carauari,AM,614,508,286,295
2001,1301100,careiro,AM,836,497,368,294
2001,1301159,careiro da varzea,AM,722,366,329,225
2001,1301209,coari,AM,1726,1147,849,691
2001,1301308,codajas,AM,342,361,351,238
2001,1301407,eirunepe,AM,675,573,484,390
2001,1301506,envira,AM,312,144,114,85
2001,1301605,fonte boa,AM,442,296,210,207
2001,1301654,guajara,AM,237,186,148,116
2001,1301704,humaita,AM,1138,952,849,722
2001,1301803,ipixuna,AM,268,178,167,120
2001,1301852,iranduba,AM,1065,663,468,382
2001,1301902,itacoatiara,AM,1769,1434,1291,1111
2001,1301951,itamarati,AM,174,110,84,54
2001,1302009,itapiranga,AM,381,257,231,129
2001,1302108,japura,AM,144,88,72,53
2001,1302207,jurua,AM,140,96,80,47
2001,1302306,jutai,AM,182,153,105,101
2001,1302405,labrea,AM,788,580,494,438
2001,1302504,manacapuru,AM,2830,1826,1388,1344
2001,1302553,manaquiri,AM,448,311,236,203
2001,1302603,manaus,AM,51003,40184,33527,48597
2001,1302702,manicore,AM,761,645,422,367
2001,1302801,maraa,AM,155,100,91,53
2001,1302900,maues,AM,1216,999,784,636
2001,1303007,nhamunda,AM,479,424,313,225
2001,1303106,nova olinda do norte,AM,661,405,266,245
2001,1303205,novo airao,AM,414,292,191,139
2001,1303304,novo aripuana,AM,414,315,259,212
2001,1303403,parintins,AM,2829,2528,2025,1671
2001,1303502,pauini,AM,196,214,147,106
2001,1303536,presidente figueiredo,AM,490,382,332,310
2001,1303569,rio preto da eva,AM,323,226,189,143
2001,1303601,santa isabel do rio negro,AM,227,220,167,150
2001,1303700,santo antonio do ica,AM,552,419,309,232
2001,1303809,sao gabriel da cachoeira,AM,786,684,559,499
2001,1303908,sao paulo de olivenca,AM,366,359,222,195
2001,1303957,sao sebastiao do uatuma,AM,226,189,142,117
2001,1304005,silves,AM,287,170,143,109
2001,1304062,tabatinga,AM,1097,934,669,517
2001,1304104,tapaua,AM,421,227,141,143
2001,1304203,tefe,AM,1634,1304,1063,869
2001,1304237,tonantins,AM,290,211,151,132
2001,1304260,uarini,AM,165,128,89,83
2001,1304302,urucara,AM,421,473,354,361
2001,1304401,urucurituba,AM,455,315,291,201
2001,1400027,amajari,RR,119,105,90,55
2001,1400050,alto alegre,RR,373,343,238,176
2001,1400100,boa vista,RR,5569,4969,4532,3912
2001,1400159,bonfim,RR,272,171,112,91
2001,1400175,canta,RR,359,218,237,141
2001,1400209,caracarai,RR,524,358,357,216
2001,1400233,caroebe,RR,230,160,185,88
2001,1400282,iracema,RR,178,89,95,37
2001,1400308,mucajai,RR,461,273,236,147
2001,1400407,normandia,RR,243,155,145,115
2001,1400456,pacaraima,RR,303,219,279,87
2001,1400472,rorainopolis,RR,636,410,326,235
2001,1400506,sao joao da baliza,RR,182,164,127,116
2001,1400605,sao luiz,RR,171,176,134,125
2001,1400704,uiramuta,RR,222,149,83,65
2001,1500107,abaetetuba,PA,3704,2640,2137,1823
2001,1500131,abel figueiredo,PA,208,191,67,45
2001,1500206,acara,PA,590,395,290,215
2001,1500305,afua,PA,798,598,353,193
2001,1500347,agua azul do norte,PA,457,231,216,133
2001,1500404,alenquer,PA,799,550,365,230
2001,1500503,almeirim,PA,755,566,502,341
2001,1500602,altamira,PA,2173,1620,1108,853
2001,1500701,anajas,PA,142,102,30,36
2001,1500800,ananindeua,PA,9670,8130,6312,4959
2001,1500859,anapu,PA,363,192,188,90
2001,1500909,augusto correa,PA,677,477,230,201
2001,1500958,aurora do para,PA,351,190,62,45
2001,1501006,aveiro,PA,208,133,110,78
2001,1501105,bagre,PA,183,149,96,72
2001,1501204,baiao,PA,590,432,297,234
2001,1501253,bannach,PA,99,94,65,39
2001,1501303,barcarena,PA,2063,1483,1011,815
2001,1501402,belem,PA,32487,27491,22244,19614
2001,1501451,belterra,PA,411,316,206,176
2001,1501501,benevides,PA,1007,649,464,308
2001,1501576,bom jesus do tocantins,PA,290,220,195,155
2001,1501600,bonito,PA,333,141,137,68
2001,1501709,braganca,PA,2142,1595,1119,865
2001,1501725,brasil novo,PA,446,406,251,212
2001,1501758,brejo grande do araguaia,PA,464,367,214,157
2001,1501782,breu branco,PA,1319,895,594,406
2001,1501808,breves,PA,1099,1182,570,516
2001,1501907,bujaru,PA,602,287,161,139
2001,1501956,cachoeira do piria,PA,135,103,120,77
2001,1502004,cachoeira do arari,PA,322,199,141,93
2001,1502103,cameta,PA,3351,2362,1655,1090
2001,1502152,canaa dos carajas,PA,387,339,305,233
2001,1502202,capanema,PA,1927,1230,905,778
2001,1502301,capitao poco,PA,873,560,356,234
2001,1502400,castanhal,PA,3877,2753,2045,1599
2001,1502509,chaves,PA,80,47,35,25
2001,1502608,colares,PA,249,284,216,159
2001,1502707,conceicao do araguaia,PA,1587,1352,1029,669
2001,1502756,concordia do para,PA,549,426,162,109
2001,1502764,cumaru do norte,PA,123,66,40,32
2001,1502772,curionopolis,PA,870,585,381,283
2001,1502806,curralinho,PA,331,158,101,82
2001,1502855,curua,PA,408,305,191,121
2001,1502905,curuca,PA,841,562,367,330
2001,1502939,dom eliseu,PA,1255,827,678,329
2001,1502954,eldorado dos carajas,PA,1166,786,528,325
2001,1503002,faro,PA,266,183,140,81
2001,1503044,floresta do araguaia,PA,681,457,319,183
2001,1503077,garrafao do norte,PA,769,243,147,111
2001,1503093,goianesia do para,PA,627,540,328,243
2001,1503101,gurupa,PA,559,378,180,216
