ano,mun,uf,codmun,matriculas_6ano_9ano,matriculas_EM
2007,alto garças,MT,5100409,764,270
2007,alto horizonte,GO,5200555,319,152
2007,alto jequitibá,MG,3153509,629,312
2007,alto longá,PI,2200301,892,601
2007,alto paraguai,MT,5100508,619,386
2007,alto paraíso,PR,4128625,244,151
2007,alto paraíso,RO,1100403,1552,779
2007,alto paraíso de goiás,GO,5200605,592,264
2007,alto paraná,PR,4100608,956,516
2007,alto parnaíba,MA,2100501,999,355
2007,alto piquiri,PR,4100707,751,382
2007,alto rio doce,MG,3102100,1063,563
2007,alto rio novo,ES,3200359,576,295
2007,alto santo,CE,2300705,1061,487
2007,alto taquari,MT,5100607,547,190
2007,altônia,PR,4100509,1297,863
2007,altos,PI,2200400,3162,2477
2007,alumínio,SP,3501152,1447,858
2007,alvarães,AM,1300029,866,619
2007,alvarenga,MG,3102209,380,189
2007,álvares florence,SP,3501202,223,138
2007,álvares machado,SP,3501301,1755,1114
2007,álvaro de carvalho,SP,3501400,272,154
2007,alvinlândia,SP,3501509,256,105
2007,alvinópolis,MG,3102308,1229,824
2007,alvorada,RS,4300604,15582,7465
2007,alvorada,TO,1700707,682,399
2007,alvorada d'oeste,RO,1100346,1872,769
2007,alvorada de minas,MG,3102407,357,203
2007,alvorada do gurguéia,PI,2200459,478,492
2007,alvorada do norte,GO,5200803,888,412
2007,alvorada do sul,PR,4100806,702,442
2007,amajari,RR,1400027,522,202
2007,amambai,MS,5000609,2659,1080
2007,amapá,AP,1600105,820,378
2007,amapá do maranhão,MA,2100550,653,361
2007,amaporã,PR,4100905,466,283
2007,amaraji,PE,2600906,1779,519
2007,amaral ferrador,RS,4300638,512,235
2007,amaralina,GO,5200829,369,147
2007,amarante,PI,2200509,1272,860
2007,amarante do maranhão,MA,2100600,4002,1162
2007,amargosa,BA,2901007,2749,866
2007,amaturá,AM,1300060,739,282
2007,amélia rodrigues,BA,2901106,2047,911
2007,américa dourada,BA,2901155,1490,833
2007,americana,SP,3501608,13603,10849
2007,americano do brasil,GO,5200852,487,291
2007,américo brasiliense,SP,3501707,2411,1339
2007,américo de campos,SP,3501806,349,266
2007,ametista do sul,RS,4300646,784,427
2007,amontada,CE,2300754,4640,2534
2007,amorinópolis,GO,5200902,375,168
2007,amparo,PB,2500734,215,121
2007,amparo,SP,3501905,4119,2735
2007,amparo do são francisco,SE,2800100,181,155
2007,amparo do serra,MG,3102506,429,186
2007,ampére,PR,4101002,1319,833
2007,anadia,AL,2700201,1624,656
2007,anagé,BA,2901205,1938,852
2007,anahy,PR,4101051,235,136
2007,anajás,PA,1500701,1445,445
2007,anajatuba,MA,2100709,1981,900
2007,analândia,SP,3502002,292,164
2007,anamã,AM,1300086,693,497
2007,ananás,TO,1701002,1004,613
2007,ananindeua,PA,1500800,36414,26225
2007,anápolis,GO,5201108,25522,16566
2007,anapu,PA,1500859,1483,530
2007,anapurus,MA,2100808,1154,927
2007,anastácio,MS,5000708,1712,691
2007,anaurilândia,MS,5000807,816,330
2007,anchieta,ES,3200409,2167,840
2007,anchieta,SC,4200804,583,332
2007,andaraí,BA,2901304,1277,678
2007,andirá,PR,4101101,1470,825
2007,andorinha,BA,2901353,1674,578
2007,andradas,MG,3102605,2197,1332
2007,andradina,SP,3502101,3560,2163
2007,andré da rocha,RS,4300661,90,42
2007,andrelândia,MG,3102803,871,505
2007,angatuba,SP,3502200,1541,812
2007,angelândia,MG,3102852,976,385
2007,angélica,MS,5000856,554,335
2007,angelim,PE,2601003,765,388
2007,angelina,SC,4200903,408,249
2007,angical,BA,2901403,1443,941
2007,angical do piauí,PI,2200608,912,430
2007,angico,TO,1701051,451,171
2007,angicos,RN,2400802,919,693
2007,angra dos reis,RJ,3300100,12399,7267
2007,anguera,BA,2901502,773,362
2007,ângulo,PR,4101150,191,111
2007,anhanguera,GO,5201207,67,43
2007,anhembi,SP,3502309,403,209
2007,anhumas,SP,3502408,249,163
2007,anicuns,GO,5201306,1679,959
2007,anísio de abreu,PI,2200707,678,441
2007,anita garibaldi,SC,4201000,654,350
2007,anitápolis,SC,4201109,244,101
2007,anori,AM,1300102,1117,549
2007,anta gorda,RS,4300703,435,268
2007,antas,BA,2901601,1043,915
2007,antonina,PR,4101200,1626,752
2007,antonina do norte,CE,2300804,836,355
2007,antônio almeida,PI,2200806,246,185
2007,antônio cardoso,BA,2901700,1290,346
2007,antônio carlos,MG,3102902,731,302
2007,antônio carlos,SC,4201208,631,301
2007,antônio dias,MG,3103009,987,497
2007,antônio gonçalves,BA,2901809,969,302
2007,antônio joão,MS,5000906,822,241
2007,antônio martins,RN,2400901,471,316
2007,antônio olinto,PR,4101309,688,300
2007,antônio prado,RS,4300802,989,512
2007,antônio prado de minas,MG,3103108,126,0
2007,aparecida,PB,2500775,440,227
2007,aparecida,SP,3502507,2829,1699
2007,aparecida d'oeste,SP,3502606,252,215
2007,aparecida de goiânia,GO,5201405,38090,21352
2007,aparecida do rio doce,GO,5201454,314,166
2007,aparecida do rio negro,TO,1701101,313,222
2007,aparecida do taboado,MS,5001003,1571,645
2007,aperibé,RJ,3300159,535,526
2007,apiacá,ES,3200508,568,267
2007,apiacás,MT,5100805,787,310
2007,apiaí,SP,3502705,2491,1430
2007,apicum-açu,MA,2100832,1573,779
2007,apiúna,SC,4201257,750,309
2007,apodi,RN,2401008,2787,1919
2007,aporá,BA,2901908,1274,830
2007,aporé,GO,5201504,279,146
2007,apuarema,BA,2901957,1210,413
2007,apucarana,PR,4101408,8719,5580
2007,apuí,AM,1300144,1381,577
2007,apuiarés,CE,2300903,1411,795
2007,aquidabã,SE,2800209,1923,1032
2007,aquidauana,MS,5001102,3683,1835
2007,aquiraz,CE,2301000,5319,2706
2007,arabutã,SC,4201273,296,165
2007,araçagi,PB,2500809,1239,770
2007,araçaí,MG,3103207,236,125
2007,aracaju,SE,2800308,34715,27985
2007,araçariguama,SP,3502754,1446,635
2007,araçás,BA,2902054,1472,644
2007,aracati,CE,2301109,6123,3288
2007,aracatu,BA,2902005,1377,418
2007,araçatuba,SP,3502804,11048,7225
2007,araci,BA,2902104,4126,2920
2007,aracitaba,MG,3103306,169,73
2007,aracoiaba,CE,2301208,2272,1187
2007,araçoiaba,PE,2601052,1696,982
2007,araçoiaba da serra,SP,3502903,1914,1012
2007,aracruz,ES,3200607,6681,4093
2007,araçu,GO,5201603,301,220
2007,araçuaí,MG,3103405,3505,1703
2007,aragarças,GO,5201702,1502,767
2007,aragoiânia,GO,5201801,632,308
2007,aragominas,TO,1701309,714,235
2007,araguacema,TO,1701903,623,348
2007,araguaçu,TO,1702000,707,415
2007,araguaiana,MT,5101001,331,198
2007,araguaína,TO,1702109,11722,8700
2007,araguainha,MT,5101209,97,54
2007,araguanã,MA,2100873,657,433
2007,araguanã,TO,1702158,536,284
