ano,codmun,mun,uf,matriculas_EF_6ano,matriculas_EF_7ano,matriculas_EF_8ano,matriculas_EF_9ano
2005,1100015,alta floresta d'oeste,RO,751,709,597,581
2005,1100023,ariquemes,RO,2325,1983,1681,1663
2005,1100031,cabixi,RO,198,176,152,95
2005,1100049,cacoal,RO,2368,2150,1702,1992
2005,1100056,cerejeiras,RO,503,416,379,332
2005,1100064,colorado do oeste,RO,565,507,493,386
2005,1100072,corumbiara,RO,322,223,166,154
2005,1100080,costa marques,RO,473,367,330,216
2005,1100098,espigao d'oeste,RO,665,623,585,474
2005,1100106,guajara-mirim,RO,1134,986,787,715
2005,1100114,jaru,RO,1794,1660,1511,1224
2005,1100122,ji-parana,RO,3185,2710,2538,2006
2005,1100130,machadinho d'oeste,RO,1119,910,673,486
2005,1100148,nova brasilandia d'oeste,RO,789,452,495,353
2005,1100155,ouro preto do oeste,RO,1226,985,715,635
2005,1100189,pimenta bueno,RO,945,747,599,658
2005,1100205,porto velho,RO,9388,7828,6116,5021
2005,1100254,presidente medici,RO,715,658,532,421
2005,1100262,rio crespo,RO,142,112,87,92
2005,1100288,rolim de moura,RO,1523,1457,1193,1111
2005,1100296,santa luzia d'oeste,RO,259,255,185,166
2005,1100304,vilhena,RO,1700,1620,1311,1129
2005,1100320,sao miguel do guapore,RO,607,544,538,318
2005,1100338,nova mamore,RO,511,392,269,210
2005,1100346,alvorada d'oeste,RO,629,500,373,323
2005,1100379,alto alegre dos parecis,RO,369,308,276,208
2005,1100403,alto paraiso,RO,417,379,362,328
2005,1100452,buritis,RO,1049,794,606,491
2005,1100502,novo horizonte do oeste,RO,310,265,190,124
2005,1100601,cacaulandia,RO,173,166,132,113
2005,1100700,campo novo de rondonia,RO,239,184,150,121
2005,1100809,candeias do jamari,RO,481,276,254,147
2005,1100908,castanheiras,RO,160,133,88,83
2005,1100924,chupinguaia,RO,354,265,308,225
2005,1100940,cujubim,RO,396,305,197,184
2005,1101005,governador jorge teixeira,RO,479,374,328,310
2005,1101104,itapua do oeste,RO,316,234,222,194
2005,1101203,ministro andreazza,RO,271,274,240,250
2005,1101302,mirante da serra,RO,368,303,336,272
2005,1101401,monte negro,RO,522,467,386,337
2005,1101435,nova uniao,RO,283,222,220,147
2005,1101450,parecis,RO,136,130,112,100
2005,1101468,pimenteiras do oeste,RO,92,71,40,40
2005,1101476,primavera de rondonia,RO,99,118,94,87
2005,1101484,sao felipe d oeste,RO,159,152,157,142
2005,1101492,sao francisco do guapore,RO,400,425,312,310
