ano,codmun,mun,uf,matriculas_EF_6ano,matriculas_EF_7ano,matriculas_EF_8ano,matriculas_EF_9ano
2006,1100015,alta floresta d'oeste,RO,836,648,558,536
2006,1100023,ariquemes,RO,2277,2085,1756,1492
2006,1100031,cabixi,RO,183,180,144,147
2006,1100049,cacoal,RO,2123,2231,1902,1544
2006,1100056,cerejeiras,RO,493,445,376,321
2006,1100064,colorado do oeste,RO,575,502,425,405
2006,1100072,corumbiara,RO,326,247,189,151
2006,1100080,costa marques,RO,483,307,293,249
2006,1100098,espigao d'oeste,RO,713,593,521,454
2006,1100106,guajara-mirim,RO,1074,930,886,764
2006,1100114,jaru,RO,1611,1335,1221,1081
2006,1100122,ji-parana,RO,3063,2709,2417,2089
2006,1100130,machadinho d'oeste,RO,949,852,605,468
2006,1100148,nova brasilandia d'oeste,RO,750,605,323,453
2006,1100155,ouro preto do oeste,RO,1229,1031,750,629
2006,1100189,pimenta bueno,RO,919,883,561,564
2006,1100205,porto velho,RO,9539,7511,6330,5309
2006,1100254,presidente medici,RO,673,621,499,410
2006,1100262,rio crespo,RO,81,103,85,89
2006,1100288,rolim de moura,RO,1520,1347,1200,1083
2006,1100296,santa luzia d'oeste,RO,258,203,211,177
2006,1100304,vilhena,RO,1769,1649,1425,1196
2006,1100320,sao miguel do guapore,RO,688,518,447,441
2006,1100338,nova mamore,RO,652,407,326,222
2006,1100346,alvorada d'oeste,RO,620,519,443,333
2006,1100379,alto alegre dos parecis,RO,404,337,267,236
2006,1100403,alto paraiso,RO,471,370,369,342
2006,1100452,buritis,RO,1254,962,701,488
2006,1100502,novo horizonte do oeste,RO,323,254,194,174
2006,1100601,cacaulandia,RO,206,159,148,123
2006,1100700,campo novo de rondonia,RO,294,206,136,115
2006,1100809,candeias do jamari,RO,456,323,203,180
2006,1100908,castanheiras,RO,153,144,86,89
2006,1100924,chupinguaia,RO,256,249,166,193
2006,1100940,cujubim,RO,367,266,187,139
2006,1101005,governador jorge teixeira,RO,411,363,286,218
2006,1101104,itapua do oeste,RO,289,227,156,163
2006,1101203,ministro andreazza,RO,336,272,275,205
2006,1101302,mirante da serra,RO,407,321,275,264
2006,1101401,monte negro,RO,582,479,393,337
2006,1101435,nova uniao,RO,277,232,159,179
2006,1101450,parecis,RO,125,108,107,85
2006,1101468,pimenteiras do oeste,RO,62,70,64,32
