ano,codmun,mun,uf,aprov_reprov_EF_6ano,aprov_reprov_EF_7ano,aprov_reprov_EF_8ano,aprov_reprov_EF_9ano,aprov_reprov_EM
1995,1100015,alta floresta d'oeste,RO,394,390,225,290,250
1995,1100023,ariquemes,RO,1714,1361,1017,743,1184
1995,1100031,cabixi,RO,204,147,109,54,39
1995,1100049,cacoal,RO,2256,1371,918,1163,674
1995,1100056,cerejeiras,RO,623,377,242,274,355
1995,1100064,colorado do oeste,RO,854,623,532,387,558
1995,1100072,corumbiara,RO,151,82,36,39,41
1995,1100080,costa marques,RO,225,193,133,94,94
1995,1100098,espigao d'oeste,RO,542,387,258,200,364
1995,1100106,guajara-mirim,RO,1082,655,464,373,692
1995,1100114,jaru,RO,1211,704,678,426,1830
1995,1100122,ji-parana,RO,2503,1946,1611,1293,2651
1995,1100130,machadinho d'oeste,RO,323,233,87,48,63
1995,1100148,nova brasilandia d'oeste,RO,329,325,258,185,285
1995,1100155,ouro preto do oeste,RO,1000,757,594,410,772
1995,1100189,pimenta bueno,RO,845,659,585,448,632
1995,1100205,porto velho,RO,7843,5549,4087,3354,6979
1995,1100254,presidente medici,RO,682,327,238,132,299
1995,1100262,rio crespo,RO,108,84,52,34,0
1995,1100288,rolim de moura,RO,1372,1051,867,870,920
1995,1100296,santa luzia d'oeste,RO,177,120,83,75,132
1995,1100304,vilhena,RO,1261,1185,806,630,1152
1995,1100320,sao miguel do guapore,RO,156,122,95,82,148
1995,1100338,nova mamore,RO,194,138,100,75,138
1995,1100346,alvorada d'oeste,RO,423,288,228,159,288
1995,1100403,alto paraiso,RO,101,105,55,30,77
1995,1100502,novo horizonte do oeste,RO,170,113,73,84,60
1995,1100601,cacaulandia,RO,94,59,49,40,22
1995,1100700,campo novo de rondonia,RO,240,122,88,56,0
1995,1100809,candeias do jamari,RO,126,95,54,38,57
1995,1100908,castanheiras,RO,49,33,24,23,49
1995,1101005,governador jorge teixeira,RO,99,60,49,22,0
1995,1101104,itapua do oeste,RO,145,77,37,24,31
1995,1101203,ministro andreazza,RO,86,49,36,28,56
1995,1101302,mirante da serra,RO,224,176,126,117,175
1995,1101401,monte negro,RO,207,125,81,39,73
1995,1101500,seringueiras,RO,144,79,55,41,0
1995,1101609,theobroma,RO,130,84,34,31,42
1995,1101708,urupa,RO,171,1305,109,75,93
1995,1101807,vale do paraiso,RO,96,47,23,18,0
1995,1200013,acrelandia,AC,98,61,51,26,0
1995,1200054,assis brasil,AC,39,21,20,17,0
1995,1200104,brasileia,AC,235,190,140,122,347
1995,1200138,bujari,AC,75,36,34,27,48
1995,1200179,capixaba,AC,18,14,15,17,0
1995,1200203,cruzeiro do sul,AC,1381,1285,895,723,1252
1995,1200252,epitaciolandia,AC,203,121,84,47,0
1995,1200302,feijo,AC,222,165,119,85,314
1995,1200328,jordao,AC,0,0,0,0,0
1995,1200336,mancio lima,AC,189,199,142,115,209
1995,1200344,manoel urbano,AC,64,42,26,32,0
1995,1200351,marechal thaumaturgo,AC,33,33,28,13,0
1995,1200385,placido de castro,AC,323,184,168,100,133
1995,1200393,porto walter,AC,43,41,17,14,0
1995,1200401,rio branco,AC,6681,4585,3847,3028,6755
1995,1200427,rodrigues alves,AC,52,31,43,17,0
1995,1200435,santa rosa do purus,AC,4,0,0,0,0
1995,1200450,senador guiomard,AC,277,218,146,133,275
1995,1200500,sena madureira,AC,367,285,217,233,409
1995,1200609,tarauaca,AC,318,268,214,170,369
1995,1200708,xapuri,AC,181,103,105,99,239
1995,1200807,porto acre,AC,151,106,82,54,0
1995,1300029,alvaraes,AM,127,91,45,33,98
1995,1300060,amatura,AM,104,51,48,43,59
1995,1300086,anama,AM,121,75,68,49,100
1995,1300102,anori,AM,197,125,115,119,192
1995,1300144,apui,AM,110,90,52,50,41
1995,1300201,atalaia do norte,AM,86,49,38,21,20
1995,1300300,autazes,AM,250,234,139,105,151
1995,1300409,barcelos,AM,194,135,109,103,187
1995,1300508,barreirinha,AM,351,260,176,180,176
1995,1300607,benjamin constant,AM,426,253,207,140,246
1995,1300631,beruri,AM,122,103,50,48,81
1995,1300680,boa vista do ramos,AM,182,187,61,73,77
1995,1300706,boca do acre,AM,386,317,214,184,445
1995,1300805,borba,AM,337,240,184,98,281
1995,1300839,caapiranga,AM,94,95,64,68,68
1995,1300904,canutama,AM,122,111,79,93,85
1995,1301001,carauari,AM,274,201,154,74,205
1995,1301100,careiro,AM,285,192,154,95,27
1995,1301159,careiro da varzea,AM,317,197,191,148,174
1995,1301209,coari,AM,845,584,504,377,952
1995,1301308,codajas,AM,299,240,177,114,303
1995,1301407,eirunepe,AM,512,435,276,215,347
1995,1301506,envira,AM,102,71,62,38,77
1995,1301605,fonte boa,AM,197,124,92,71,142
1995,1301654,guajara,AM,90,72,62,35,0
1995,1301704,humaita,AM,737,536,416,341,562
1995,1301803,ipixuna,AM,120,70,51,54,41
1995,1301852,iranduba,AM,347,250,172,157,234
1995,1301902,itacoatiara,AM,1181,974,863,700,0
1995,1301951,itamarati,AM,59,45,33,20,0
1995,1302009,itapiranga,AM,139,111,75,61,105
1995,1302108,japura,AM,72,56,30,33,0
1995,1302207,jurua,AM,36,41,23,21,0
1995,1302306,jutai,AM,138,76,41,45,0
1995,1302405,labrea,AM,595,414,313,202,246
1995,1302504,manacapuru,AM,1376,922,674,617,1081
1995,1302553,manaquiri,AM,334,185,134,52,49
1995,1302603,manaus,AM,34467,28257,23462,19947,44885
1995,1302702,manicore,AM,565,301,214,193,426
1995,1302801,maraa,AM,136,98,57,28,42
1995,1302900,maues,AM,613,503,358,348,784
1995,1303007,nhamunda,AM,323,250,157,141,267
1995,1303106,nova olinda do norte,AM,246,196,153,91,222
1995,1303205,novo airao,AM,141,104,65,55,93
1995,1303304,novo aripuana,AM,178,164,99,88,121
1995,1303403,parintins,AM,1984,1485,1205,1043,2163
1995,1303502,pauini,AM,109,95,71,36,39
1995,1303536,presidente figueiredo,AM,235,186,128,105,146
1995,1303569,rio preto da eva,AM,154,102,77,98,133
1995,1303601,santa isabel do rio negro,AM,208,88,68,50,85
1995,1303700,santo antonio do ica,AM,171,165,81,57,100
1995,1303809,sao gabriel da cachoeira,AM,405,310,270,258,485
1995,1303908,sao paulo de olivenca,AM,366,215,109,107,200
1995,1303957,sao sebastiao do uatuma,AM,152,108,78,54,138
1995,1304005,silves,AM,95,87,68,59,103
1995,1304062,tabatinga,AM,635,450,277,223,441
1995,1304104,tapaua,AM,160,87,67,49,96
1995,1304203,tefe,AM,1254,772,639,450,930
1995,1304237,tonantins,AM,113,71,37,43,68
1995,1304260,uarini,AM,50,24,27,16,0
1995,1304302,urucara,AM,258,296,225,158,315
1995,1304401,urucurituba,AM,280,177,159,90,188
1995,1400050,alto alegre,RR,295,134,117,93,72
1995,1400100,boa vista,RR,4493,3689,2492,2124,5971
1995,1400159,bonfim,RR,157,93,74,34,65
1995,1400209,caracarai,RR,267,188,84,104,112
1995,1400308,mucajai,RR,356,199,155,92,138
1995,1400407,normandia,RR,122,116,100,68,55
