ano,codmun,mun,uf,matriculas_EF_6ano,matriculas_EF_7ano,matriculas_EF_8ano,matriculas_EF_9ano
1996,1100015,alta floresta d'oeste,RO,758,349,375,276
1996,1100023,ariquemes,RO,2381,1684,1158,958
1996,1100031,cabixi,RO,267,195,143,94
1996,1100049,cacoal,RO,1828,1728,1488,1095
1996,1100056,cerejeiras,RO,929,526,327,280
1996,1100064,colorado do oeste,RO,1046,833,702,526
1996,1100072,corumbiara,RO,236,96,80,58
1996,1100080,costa marques,RO,365,291,168,128
1996,1100098,espigao d'oeste,RO,665,505,394,252
1996,1100106,guajara-mirim,RO,1468,866,685,475
1996,1100114,jaru,RO,1864,1107,786,568
1996,1100122,ji-parana,RO,3454,2556,2023,1732
1996,1100130,machadinho d'oeste,RO,469,318,200,88
1996,1100148,nova brasilandia d'oeste,RO,494,395,325,323
1996,1100155,ouro preto do oeste,RO,1435,1014,766,632
1996,1100189,pimenta bueno,RO,1630,953,787,660
1996,1100205,porto velho,RO,10271,6976,4699,3965
1996,1100254,presidente medici,RO,947,574,288,253
1996,1100262,rio crespo,RO,224,98,56,45
1996,1100288,rolim de moura,RO,1813,1203,1007,1013
1996,1100296,santa luzia d'oeste,RO,239,164,111,80
1996,1100304,vilhena,RO,1741,1475,1101,823
1996,1100320,sao miguel do guapore,RO,298,145,128,99
1996,1100338,nova mamore,RO,397,186,116,91
1996,1100346,alvorada d'oeste,RO,542,334,270,193
1996,1100403,alto paraiso,RO,189,113,115,56
1996,1100502,novo horizonte do oeste,RO,229,138,110,69
1996,1100601,cacaulandia,RO,125,102,60,50
1996,1100700,campo novo de rondonia,RO,268,254,107,92
1996,1100809,candeias do jamari,RO,206,120,91,55
1996,1100908,castanheiras,RO,174,139,42,221
1996,1101005,governador jorge teixeira,RO,141,91,57,33
1996,1101104,itapua do oeste,RO,246,135,90,65
1996,1101203,ministro andreazza,RO,640,67,55,42
1996,1101302,mirante da serra,RO,330,235,150,141
1996,1101401,monte negro,RO,244,187,122,72
1996,1101500,seringueiras,RO,114,88,56,56
1996,1101609,theobroma,RO,133,129,60,40
1996,1101708,urupa,RO,462,199,143,124
1996,1101807,vale do paraiso,RO,118,87,54,20
1996,1200013,acrelandia,AC,208,106,79,59
1996,1200054,assis brasil,AC,69,36,25,22
1996,1200104,brasileia,AC,278,220,180,133
1996,1200138,bujari,AC,86,79,39,36
1996,1200179,capixaba,AC,30,16,13,14
1996,1200203,cruzeiro do sul,AC,1850,1334,1300,928
1996,1200252,epitaciolandia,AC,229,155,141,81
1996,1200302,feijo,AC,313,206,173,131
1996,1200328,jordao,AC,22,11,0,0
1996,1200336,mancio lima,AC,243,180,181,128
1996,1200344,manoel urbano,AC,104,67,43,27
1996,1200351,marechal thaumaturgo,AC,66,32,35,27
1996,1200385,placido de castro,AC,487,319,213,183
1996,1200393,porto walter,AC,65,46,41,12
1996,1200401,rio branco,AC,8356,5973,4775,3897
1996,1200427,rodrigues alves,AC,84,40,34,41
1996,1200435,santa rosa do purus,AC,6,4,0,0
1996,1200450,senador guiomard,AC,460,278,255,166
1996,1200500,sena madureira,AC,538,406,325,220
1996,1200609,tarauaca,AC,383,308,275,195
1996,1200708,xapuri,AC,244,162,119,105
1996,1200807,porto acre,AC,229,166,122,85
1996,1300029,alvaraes,AM,180,104,94,48
1996,1300060,amatura,AM,137,90,58,48
1996,1300086,anama,AM,98,94,63,54
1996,1300102,anori,AM,303,232,193,129
1996,1300144,apui,AM,120,93,84,52
1996,1300201,atalaia do norte,AM,134,91,68,31
1996,1300300,autazes,AM,363,286,235,164
